Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
37	22:53:08	22:53:08	22:53:08	22:53:08	22:53:08	22:53:08			22:53:08	22:53:08	22:53:09	22:53:09	22:53:19	22:53:19	22:53:19	22:53:19	22:53:19	22:53:19			22:53:20	22:53:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
38	22:53:20	22:53:20	22:53:20	22:53:20	22:53:20	22:53:20			22:53:20	22:53:20	22:53:20	22:53:20	22:53:32	22:53:32	22:53:32	22:53:32	22:53:32	22:53:32			22:53:33	22:53:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
39	22:53:33	22:53:33	22:53:33	22:53:33	22:53:33	22:53:33			22:53:33	22:53:33	22:53:33	22:53:33	22:53:44	22:53:44	22:53:44	22:53:44	22:53:44	22:53:44			22:53:45	22:53:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
40	22:53:45	22:53:45	22:53:45	22:53:45	22:53:45	22:53:45			22:53:45	22:53:45	22:53:45	22:53:45	22:53:57	22:53:57	22:53:57	22:53:57	22:53:57	22:53:57	22:53:57	22:53:57	22:53:58	22:53:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00	00:00:00	00:00:00	00:00:13
41	22:53:58	22:53:58	22:53:58	22:53:58	22:53:58	22:53:58			22:53:58	22:53:58	22:53:59	22:53:59	22:54:11	22:54:11	22:54:11	22:54:11	22:54:11	22:54:11			22:54:11	22:54:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
42	22:54:11	22:54:11	22:54:11	22:54:11	22:54:12	22:54:12			22:54:12	22:54:12	22:54:12	22:54:12	22:54:22	22:54:22	22:54:22	22:54:22	22:54:22	22:54:22			22:54:23	22:54:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
43	22:54:23	22:54:23	22:54:23	22:54:23	22:54:23	22:54:23			22:54:23	22:54:23	22:54:23	22:54:23	22:54:34	22:54:34	22:54:34	22:54:34	22:54:34	22:54:34			22:54:35	22:54:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
44	22:54:35	22:54:35	22:54:35	22:54:35	22:54:35	22:54:35			22:54:35	22:54:35	22:54:35	22:54:35	22:54:47	22:54:47	22:54:47	22:54:47	22:54:47	22:54:47			22:54:47	22:54:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
45	22:54:47	22:54:47	22:54:47	22:54:47	22:54:48	22:54:48			22:54:48	22:54:48	22:54:48	22:54:48	22:54:59	22:54:59	22:54:59	22:54:59	22:54:59	22:54:59			22:55:00	22:55:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
46	22:55:00	22:55:00	22:55:00	22:55:00	22:55:00	22:55:00			22:55:00	22:55:00	22:55:00	22:55:00	22:55:13	22:55:13	22:55:13	22:55:13	22:55:13	22:55:13			22:55:13	22:55:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
