Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
37	23:38:20	23:38:20	23:38:20	23:38:20	23:38:21	23:38:21			23:38:21	23:38:21	23:38:21	23:38:21	23:38:29	23:38:29	23:38:29	23:38:29	23:38:29	23:38:29			23:38:30	23:38:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
38	23:38:30	23:38:30	23:38:30	23:38:30	23:38:30	23:38:30			23:38:30	23:38:30	23:38:31	23:38:31	23:38:38	23:38:38	23:38:38	23:38:38	23:38:38	23:38:38			23:38:39	23:38:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
39	23:38:39	23:38:39	23:38:39	23:38:39	23:38:39	23:38:39			23:38:39	23:38:39	23:38:39	23:38:39	23:38:47	23:38:47	23:38:47	23:38:47	23:38:47	23:38:47			23:38:48	23:38:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
40	23:38:48	23:38:48	23:38:48	23:38:48	23:38:48	23:38:48			23:38:48	23:38:48	23:38:48	23:38:48	23:38:57	23:38:57	23:38:57	23:38:57	23:38:57	23:38:57	23:38:57	23:38:57	23:38:57	23:38:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00	00:00:00	00:00:00	00:00:09
41	23:38:57	23:38:57	23:38:57	23:38:57	23:38:58	23:38:58			23:38:58	23:38:58	23:38:58	23:38:58	23:39:07	23:39:07	23:39:07	23:39:07	23:39:07	23:39:07			23:39:08	23:39:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
42	23:39:08	23:39:08	23:39:08	23:39:08	23:39:08	23:39:08			23:39:08	23:39:08	23:39:08	23:39:08	23:39:16	23:39:16	23:39:16	23:39:16	23:39:16	23:39:16			23:39:17	23:39:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:09
43	23:39:17	23:39:17	23:39:17	23:39:17	23:39:17	23:39:17			23:39:17	23:39:17	23:39:18	23:39:18	23:39:25	23:39:25	23:39:25	23:39:25	23:39:25	23:39:25			23:39:26	23:39:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
44	23:39:26	23:39:26	23:39:26	23:39:26	23:39:26	23:39:26			23:39:26	23:39:26	23:39:26	23:39:26	23:39:36	23:39:36	23:39:36	23:39:36	23:39:36	23:39:36			23:39:37	23:39:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
45	23:39:37	23:39:37	23:39:37	23:39:37	23:39:37	23:39:37			23:39:37	23:39:37	23:39:37	23:39:37	23:39:45	23:39:45	23:39:45	23:39:45	23:39:45	23:39:45			23:39:46	23:39:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
46	23:39:46	23:39:46	23:39:46	23:39:46	23:39:46	23:39:46			23:39:46	23:39:46	23:39:47	23:39:47	23:39:55	23:39:55	23:39:55	23:39:55	23:39:55	23:39:55			23:39:55	23:39:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:09
47	23:39:56	23:39:56	23:39:56	23:39:56	23:39:56	23:39:56			23:39:56	23:39:56	23:39:56	23:39:56	23:40:03	23:40:03	23:40:03	23:40:03	23:40:03	23:40:03			23:40:04	23:40:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
48	23:40:04	23:40:04	23:40:04	23:40:04	23:40:04	23:40:04			23:40:04	23:40:04	23:40:05	23:40:05	23:40:13	23:40:13	23:40:13	23:40:13	23:40:13	23:40:13			23:40:13	23:40:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:09
49	23:40:13	23:40:13	23:40:13	23:40:13	23:40:14	23:40:14			23:40:14	23:40:14	23:40:14	23:40:14	23:40:22	23:40:22	23:40:22	23:40:22	23:40:22	23:40:22			23:40:23	23:40:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
